Statue of Liberty Frog,42.11679,-80.0604,E 26th St (Ash St), Erie, PA
Thrifty Hopper Frog,42.12563,-80.08071,1017 French St, Erie, PA
Statue of Riberty Frog,42.09034,-80.09934,1540 W 38th St, Erie, PA
Sis,42.124,-80.07889,123 E 12th St, Erie, PA
Tip Toad Through the Tulips,42.10591,-80.14257,2632 W 8th St, Erie, PA
Art-thurian Knight,42.12567,-80.0838,16 W 10th St, Erie, PA
From Fish to Frog,42.11354,-80.07085,138 E 26th St, Erie, PA
Leap Into Your Reflection,42.09424,-80.08316,Liberty St (Peach St), Erie, PA
On Golden Pond Frog,42.09781,-80.12585,2165 W 21st St (Pittsburgh Ave), Erie, PA
Infinity Frogs,42.11282,-80.11978,1645 W 8th St, Erie, PA
Gone Fishin' Frog,42.11351,-80.12193,1662 W 8th St (Lincoln Ave), Erie, PA
Rosie the Riveter,42.10463,-80.14452,2727 W 8th St, Erie, PA
Amphibious Acoustician,42.09969,-80.08043,3580 Peach St, Erie, PA
One Hopper Frog,42.12706,-80.0803,110 E 10th St, Erie, PA
Experience Frog,42.13098,-80.08457,French St (E 5th St), Erie, PA
Accentuate The Positive Frog,42.13569,-80.08804,160 E Front St, Erie, PA
Leaping Home Frog,42.0873,-80.17965,4248 W 12th St, Erie, PA
Froggy and Flutterby Proverbial Friends,42.12298,-80.08389,128 W 12th St, Erie, PA
E B Chelsie Frog,42.12515,-80.08799,220 W 9th St, Erie, PA
Cru-Sadie Frog,42.10555,-80.05753,425 E 38th St, Erie, PA
The Big Blue Frog,42.11323,-80.12924,W 6th St (Maryland Ave), Erie, PA
Toadally Cool to be Kind Frog,42.10859,-80.14153,2624 W 6th St (Sommerheim Dr), Erie, PA
Bogwatch Frog,42.1082,-80.15731,220 Peninsula Dr, Erie, PA
Geronimo,42.096,-80.11674,1930 W 26th St (Hampton Ave), Erie, PA
Prestochage-O,42.084621,-80.14901,3330 W 26th St, Erie, PA
Frogafeller,42.084621,-80.14901,3330 W 26th St, Erie, PA
We are the Future,42.11471,-80.08006,21st St (Sassafras St), Erie, PA
Barkley the Tree Frog,42.13926,-80.08068,380 E Bayfront Pkwy, Erie, PA
Basic Becky Frog,42.13615,-80.06701,Bayfront Parkway, Erie, PA
Experience America Frog,42.04768,-80.07909,8091 Peach St, Erie, PA
Welcome to Frogaritaville,42.04768,-80.07909,8091 Peach St, Erie, PA
Harry Pond-er Frog,42.04768,-80.07909,8091 Peach St, Erie, PA
Leaping to Greatness,42.12653,-80.08331,801 State St (E 9th St), Erie, PA
Victorian Flower Frog,42.12797,-80.08594,W 7th St (Peach St), Erie, PA
Jumpin Jack Frog,42.04768,-80.07909,8091 Peach St, Erie, PA
Veterans Bearing the Burden of Freedom Frog,42.04768,-80.07909,8091 Peach St, Erie, PA
Toadally Eriesistable Frog,42.10923,-80.08091,325 W 26th St (Cochran St), Erie, PA
Reeeproducing Frog,42.08064,-80.14073,3161 W 32nd St, Erie, PA
